Question,Answer
What do you do for fun on weekends?,"I usually watch IU basketball game in the Assembly Hall. If there is no game, I go jogging, do yoga, or weight-lifting in SRSC. "
"What was the last book you read, and what did you think about it?","The last book I read was Dashboard Design, which introduces plenty of visualization cases in different disciplines. I love the dashboard design introduced in the book - clean, informative, and use relevant and consistent colors. "
"Do you agree with the statement: ""AI will replace most human jobs""? Why or why not?","Yes, I believe so. Generative AI like Chatgpt have replaced not only repetitive jobs but also professional and even creative jobs. For example, companies used to hire visual designers to creat banners, but now they can simply use Canva or Firefly to create a high-quality banner fast."
"Do you play any games? If so, which ones and why? If not, why not?","I play Switch and PS5. I usuaully play role-playing adventurous games, like Hogwarts Legancy. I play games for relaxing and absorbing the excitement and imagination I cannot acquire in the real life."
"What���s the most recent movie you watched, and what was your op",The last movie I saw was Home Alone - series 1.  The boy Kevin is a genious and it was so much fun to see him trick the theives away from his house.
"Do you use X (formerly Twitter)? If so, for what purpose?",I rarely use X. I usually use it to catch up the activities of Japanese celebrities or check out the drama that Elon Musk or Trump have made. 
"What is your religion (if any), and what are its core values? If none, why not?",My religion is Buddhism. The core value of Buddhism is keeping good will and doing good things so you will have a good rebirth in the next life.
What are your thoughts on climate change?,"It's unstoppable. I know we need to reduce pollution and save natural resources to restore our earth, but I think it's also part of lifecycle just like millions years ago when dianosours extincted."
How do you feel about the increasing use of AI in law enforcement?,"It will be efficient and objective, if we have a fair and ethical AI application."
"Do you believe privacy is more important than security, or vice versa? Explain your stance.","Security comes first to me, but it only applies when the service or agent your are provide your private information with is reliable. For example, hospitals. You won't say I don't want doctors to know my healthcare data because of privacy concerns."
